region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
143,143,geometry:25836914057,152,82,160,90,2.269688,33.941125,,0.003125,threshold_snap:252,UNSEALED_NONCONVERGENT,252,252,0,no
144,144,geometry:25836914057,152,82,160,90,2.269688,33.941125,,0.003125,threshold_snap:252,UNSEALED_NONCONVERGENT,252,252,0,no
145,145,geometry:25836914057,149,95,160,90,2.270861,34.205263,,0.003125,threshold_snap:259,UNSEALED_NONCONVERGENT,259,259,0,no
146,146,geometry:25836914057,176,58,160,90,2.257994,34.885527,,0.003125,threshold_snap:44,UNSEALED_NONCONVERGENT,44,44,0,no
147,147,geometry:25836914057,160,114,160,90,2.267361,28,,0.003125,threshold_snap:147,UNSEALED_NONCONVERGENT,147,147,0,no
148,148,geometry:25836914057,176,122,160,90,2.259151,34.885527,,0.003125,threshold_snap:44,UNSEALED_NONCONVERGENT,44,44,0,no
149,149,geometry:25836914057,150,100,160,90,2.270861,31.112698,,0.003125,threshold_snap:250,UNSEALED_NONCONVERGENT,250,250,0,no
150,150,geometry:25836914057,156,110,160,90,2.270861,30.463092,,0.003125,threshold_snap:181,UNSEALED_NONCONVERGENT,181,181,0,no
151,151,geometry:25836914057,150,80,160,90,2.269688,31.112698,,0.003125,threshold_snap:250,UNSEALED_NONCONVERGENT,250,250,0,no
152,152,geometry:25836914057,149,85,160,90,2.269688,34.205263,,0.003125,threshold_snap:259,UNSEALED_NONCONVERGENT,259,259,0,no
153,153,geometry:25836914057,148,82,160,90,2.269688,31.240999,,0.003125,threshold_snap:251,UNSEALED_NONCONVERGENT,251,251,0,no
154,154,geometry:25836914057,152,78,160,90,2.269688,31.240999,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
