x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
40,42,stable,0.02,0.001651,0.013702,0.0,0,1,1,0.000401,0.000469,0.003194,0.003481,0.0,0.0
41,26,stable,0.018,0.001923,0.015193,0.0,0,1,1,0.000417,0.000479,0.002441,0.002728,0.0,0.0
41,27,stable,0.018,0.002108,0.0175,0.0,0,1,1,0.000332,0.000399,0.002439,0.002727,0.0,0.0
41,28,stable,0.02,0.002165,0.01731,0.0,0,1,1,0.000594,0.000294,0.004,0.001162,0.0,0.0
41,29,stable,0.018,0.001421,0.011559,0.0,0,1,1,0.000519,0.000215,0.003998,0.00116,0.0,0.0
41,30,stable,0.015,0.002347,0.018588,0.0,0,1,1,0.000716,0.000398,0.004777,0.001939,0.0,0.0
41,31,stable,0.02,0.001255,0.009819,0.0,0,1,1,0.000659,0.000363,0.004775,0.001937,0.0,0.0
41,32,stable,0.018,0.001593,0.013068,0.0,0,1,1,0.000614,0.000297,0.004773,0.001935,0.0,0.0
41,33,stable,0.015,0.00227,0.018114,0.0,0,1,1,0.000778,0.000477,0.005552,0.002714,0.0,0.0
41,34,stable,0.02,0.001788,0.014345,0.0,0,1,1,0.00075,0.000453,0.00555,0.002712,0.0,0.0
41,35,stable,0.02,0.001706,0.013802,0.0,0,1,1,0.000637,0.000339,0.004767,0.001929,0.0,0.0
41,36,stable,0.014,0.002173,0.016859,0.0,0,1,1,0.000835,0.000534,0.005547,0.002708,0.0,0.0
41,37,stable,0.02,0.001597,0.012299,0.0,0,1,1,0.000692,0.000386,0.004764,0.001925,0.0,0.0
41,38,stable,0.02,0.001615,0.012519,0.0,0,1,1,0.00069,0.000407,0.004762,0.001924,0.0,0.0
41,39,stable,0.016,0.001785,0.014045,0.0,0,1,1,0.000577,0.000271,0.003979,0.001141,0.0,0.0
41,40,stable,0.018,0.00241,0.019509,0.0,0,1,1,0.000479,0.000548,0.003196,0.003483,0.0,0.0
41,41,stable,0.02,0.00162,0.012921,0.0,0,1,1,0.000362,0.000445,0.002413,0.0027,0.0,0.0
41,42,stable,0.016,0.001918,0.015427,0.0,0,1,1,0.00027,0.000353,0.00163,0.001917,0.0,0.0
42,26,stable,0.018,0.001844,0.015157,0.0,0,1,1,0.000795,0.000491,0.006347,0.003509,0.0,0.0
42,27,stable,0.02,0.001795,0.014186,0.0,0,1,1,0.000225,0.000292,0.000875,0.001163,0.0,0.0
42,28,stable,0.02,0.001061,0.008529,0.0,0,1,1,0.000146,0.000214,0.000874,0.001161,0.0,0.0
42,29,stable,0.016,0.002048,0.016245,0.0,0,1,1,0.000411,0.000478,0.002434,0.002721,0.0,0.0
42,30,stable,0.02,0.002013,0.016494,0.0,0,1,1,0.000356,0.000408,0.002432,0.002719,0.0,0.0
42,31,stable,0.02,0.001875,0.014505,0.0,0,1,1,0.000533,0.000616,0.003211,0.003498,0.0,0.0
42,32,stable,0.015,0.001981,0.015771,0.0,0,1,1,0.000505,0.000557,0.003209,0.003496,0.0,0.0
42,33,stable,0.02,0.002208,0.018021,0.0,0,1,1,0.00046,0.000528,0.003207,0.003494,0.0,0.0
42,34,stable,0.02,0.00171,0.013021,0.0,0,1,1,0.000627,0.000709,0.003986,0.004273,0.0,0.0
42,35,stable,0.015,0.001863,0.014516,0.0,0,1,1,0.000514,0.000596,0.003203,0.00349,0.0,0.0
