node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
79,geometry:25836914057:centroid,geometry:25836914057,2,144,74,160,90,22.62742,-2.356194,Centroid,-1.0,52.49762,-16,-16,2.257973,2.257199,0.003125,threshold_snap,no,yes,yes
80,geometry:25836914057:centroid,geometry:25836914057,2,144,74,160,90,22.62742,-2.356194,Centroid,-1.0,52.49762,0,0,2.257973,2.257199,0.003125,threshold_snap,no,yes,yes
81,geometry:25836914057:centroid,geometry:25836914057,2,144,74,160,90,22.62742,-2.356194,Centroid,-1.0,52.49762,0,-16,2.257973,2.257199,0.003125,threshold_snap,no,yes,yes
82,geometry:25836914057:centroid,geometry:25836914057,2,144,74,160,90,22.62742,-2.356194,Centroid,-1.0,52.49762,-8,-8,2.257973,2.257199,0.003125,threshold_snap,no,yes,yes
83,geometry:25836914057:centroid,geometry:25836914057,2,144,74,160,90,22.62742,-2.356194,Centroid,-1.0,52.49762,-16,0,2.257973,2.257199,0.003125,threshold_snap,no,yes,yes
84,geometry:25836914057:centroid,geometry:25836914057,2,148,70,160,90,23.32381,-2.111216,Centroid,-1.0,47.53946,4,-4,2.25797,2.256222,0.003125,threshold_snap,no,yes,yes
85,geometry:25836914057:centroid,geometry:25836914057,2,141,93,160,90,19.23538,2.984991,Centroid,-1.0,64.84597,-11,11,2.257969,2.256208,0.003125,threshold_snap,no,yes,yes
86,geometry:25836914057:centroid,geometry:25836914057,2,155,117,160,90,27.45906,1.753907,Centroid,-1.0,38.32754,11,11,2.257968,2.257184,0.003125,threshold_snap,no,yes,yes
87,geometry:25836914057:centroid,geometry:25836914057,2,140,90,160,90,20.0,3.141593,Centroid,-1.0,68.00735,-4,0,2.257968,2.257184,0.003125,threshold_snap,no,yes,yes
88,geometry:25836914057:centroid,geometry:25836914057,2,147,71,160,90,23.02173,-2.170846,Centroid,-1.0,48.76474,3,-3,2.257967,2.256218,0.003125,threshold_snap,no,yes,yes
89,geometry:25836914057:centroid,geometry:25836914057,2,140,86,160,90,20.39608,-2.944197,Centroid,-1.0,65.14599,-4,-4,2.257965,2.257181,0.003125,threshold_snap,no,yes,yes
90,geometry:25836914057:centroid,geometry:25836914057,2,144,78,160,90,20.0,-2.498092,Centroid,-1.0,56.32051,0,4,2.2572,2.256236,0.003125,threshold_snap,no,yes,yes
91,geometry:25836914057:centroid,geometry:25836914057,2,146,104,160,90,19.79899,2.356194,Centroid,-1.0,52.88667,-6,6,2.257184,2.256206,0.003125,threshold_snap,no,yes,yes
92,geometry:25836914057:centroid,geometry:25836914057,2,148,102,160,90,16.97056,2.356194,Centroid,-1.0,54.34151,4,-4,2.255656,2.254275,0.003125,threshold_snap,no,yes,yes
93,geometry:25836914057:centroid,geometry:25836914057,2,148,102,160,90,16.97056,2.356194,Centroid,-1.0,54.34151,-4,4,2.255656,2.254275,0.003125,threshold_snap,no,yes,yes
94,geometry:25836914057:centroid,geometry:25836914057,2,146,88,160,90,14.14214,-2.999696,Centroid,-1.0,65.51336,-6,6,2.255651,2.254288,0.003125,threshold_snap,no,yes,yes
95,geometry:25836914057:centroid,geometry:25836914057,2,148,74,160,90,20.0,-2.214298,Centroid,-1.0,51.41984,4,0,2.25565,2.255251,0.003125,threshold_snap,no,yes,yes
96,geometry:25836914057:centroid,geometry:25836914057,2,146,76,160,90,19.79899,-2.356194,Centroid,-1.0,53.85165,-6,-6,2.25565,2.255251,0.003125,threshold_snap,no,yes,yes
97,geometry:25836914057:centroid,geometry:25836914057,2,149,101,160,90,15.55635,2.356194,Centroid,-1.0,55.10898,-3,3,2.25565,2.254274,0.003125,threshold_snap,no,yes,yes
98,geometry:25836914057:centroid,geometry:25836914057,2,152,106,160,90,17.88854,2.034444,Centroid,-1.0,49.64877,8,0,2.255648,2.254288,0.003125,threshold_snap,no,yes,yes
